"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","220pF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3,C5","2","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C6,C8","2","1u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D3,D4","2","1N4148","","","","Diode_SMD:D_SOD-323_HandSoldering","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D5,D6","2","LED","","","","LED_THT:LED_D3.0mm","~"
"J1","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J2","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J3","1","Conn_01x07_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"Q1,Q2","2","BC857","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.onsemi.com/pub/Collateral/BC860-D.pdf"
"R1,R5,R6,R7,R8,R10,R14,R16,R18,R29,R34","11","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R9,R19","2","200k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R11,R17,R21,R32,R33","5","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R15,R22","2","2k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"R20","1","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R23","1","47k","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV4","1","100k","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1,U4","2","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","L7809","","","","Package_TO_SOT_SMD:SOT-223","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U5","1","LM13700","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
"U6","1","LM7909","","","","Package_TO_SOT_SMD:SOT-223","https://www.onsemi.com/pub/Collateral/MC7900-D.PDF"
