"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","220pF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3,C5","2","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C7","1","10n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C101,C102,C103,C104","4","10u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D2,D3,D4","3","1N4148","","","","Diode_SMD:D_SOD-323_HandSoldering","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D5,D6","2","LED","","","","LED_THT:LED_D3.0mm","~"
"J2","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J101","1","Conn_01x09_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
"J104","1","Conn_01x08_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"Q1,Q2","2","BC857","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.onsemi.com/pub/Collateral/BC860-D.pdf"
"Q3","1","BC847","","","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R1,R4,R5,R6,R7,R8,R10,R14,R16,R18,R28,R29,R31,R34,R35,R42","16","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R9,R19","2","200k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R11,R17,R21,R32,R33,R101,R104","7","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R12,R15,R22","3","2k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"R20","1","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R23","1","47k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R102,R103","2","6k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV4","1","100k","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1,U4","2","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U5","1","LM13700","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
"U101","1","LM317_SOT-223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U102","1","LM337_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm337-n.pdf"
