Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220pF","C_1206_3216Metric",218.484037,-101.900000,0.000000,top
"C2","220pF","C_1206_3216Metric",204.325000,-93.100000,0.000000,top
"C3","100n","C_1206_3216Metric",209.984037,-93.100000,180.000000,top
"C5","100n","C_1206_3216Metric",209.784037,-66.500000,0.000000,top
"C7","10n","C_1206_3216Metric",210.225000,-55.637500,90.000000,top
"C101","10u","C_1206_3216Metric",200.525000,-117.625000,-90.000000,top
"C102","10u","C_1206_3216Metric",226.425000,-117.325000,90.000000,top
"C103","10u","C_1206_3216Metric",221.325000,-117.375000,-90.000000,top
"C104","10u","C_1206_3216Metric",203.025000,-117.650000,-90.000000,top
"D2","1N4148","D_SOD-323_HandSoldering",208.025000,-55.737500,-90.000000,top
"D3","1N4148","D_SOD-323_HandSoldering",211.825000,-106.300000,0.000000,top
"D4","1N4148","D_SOD-323_HandSoldering",204.275000,-106.300000,180.000000,top
"Q1","BC857","SOT-23-3",225.349037,-74.890000,-90.000000,top
"Q2","BC857","SOT-23-3",225.259037,-79.440000,-90.000000,top
"Q3","BC847","SOT-23",200.025000,-55.637500,180.000000,top
"R1","100k","R_1206_3216Metric",202.484037,-70.700000,180.000000,top
"R4","100k","R_1206_3216Metric",217.534037,-63.850000,180.000000,top
"R5","100k","R_1206_3216Metric",217.584037,-68.870000,180.000000,top
"R6","100k","R_1206_3216Metric",217.584037,-73.770000,0.000000,top
"R7","100k","R_1206_3216Metric",217.584037,-71.370000,0.000000,top
"R8","100k","R_1206_3216Metric",217.584037,-76.270000,0.000000,top
"R9","200k","R_1206_3216Metric",218.399037,-85.840000,180.000000,top
"R10","100k","R_1206_3216Metric",209.984037,-78.400000,180.000000,top
"R11","1k","R_1206_3216Metric",218.409037,-88.270000,180.000000,top
"R12","2k2","R_1206_3216Metric",196.525000,-55.637500,90.000000,top
"R14","100k","R_1206_3216Metric",202.484037,-75.600000,180.000000,top
"R15","2k2","R_1206_3216Metric",218.409037,-81.070000,180.000000,top
"R16","100k","R_1206_3216Metric",202.484037,-68.200000,0.000000,top
"R17","1k","R_1206_3216Metric",225.009037,-71.500000,0.000000,top
"R18","100k","R_1206_3216Metric",218.484037,-99.200000,180.000000,top
"R19","200k","R_1206_3216Metric",201.809037,-86.000000,0.000000,top
"R20","10k","R_1206_3216Metric",222.159037,-75.140000,-90.000000,top
"R21","1k","R_1206_3216Metric",201.809037,-88.400000,0.000000,top
"R22","2k2","R_1206_3216Metric",201.809037,-81.200000,0.000000,top
"R23","47k","R_1206_3216Metric",218.559037,-96.040000,180.000000,top
"R28","100k","R_1206_3216Metric",203.425000,-55.637500,90.000000,top
"R29","100k","R_1206_3216Metric",217.584037,-66.400000,180.000000,top
"R31","100k","R_1206_3216Metric",205.825000,-55.637500,90.000000,top
"R32","1k","R_1206_3216Metric",201.809037,-83.600000,0.000000,top
"R33","1k","R_1206_3216Metric",218.409037,-83.470000,180.000000,top
"R34","100k","R_1206_3216Metric",202.484037,-73.200000,180.000000,top
"R35","100k","R_1206_3216Metric",203.725000,-102.350000,0.000000,top
"R42","100k","R_1206_3216Metric",212.725000,-55.637500,-90.000000,top
"R101","1k","R_1206_3216Metric",218.825000,-117.425000,-90.000000,top
"R102","6k2","R_1206_3216Metric",223.835000,-117.375000,-90.000000,top
"R103","6k2","R_1206_3216Metric",195.625000,-117.625000,90.000000,top
"R104","1k","R_1206_3216Metric",197.925000,-117.600000,90.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",209.884037,-99.170000,180.000000,top
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm",209.709037,-72.300000,180.000000,top
"U5","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",209.834037,-86.500000,0.000000,top
"U101","LM317_SOT-223","SOT-223-3_TabPin2",223.125000,-111.100000,0.000000,top
"U102","LM337_SOT223","SOT-223-3_TabPin2",197.725000,-111.200000,180.000000,top
