"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C4","1","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C7","1","10n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1,D7,D8,D9","4","LED_Dual_Bidirectional","","","","LED_THT:LED_D5.0mm","~"
"D2","1","1N4148","","","","Diode_SMD:D_SOD-323_HandSoldering","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D10,D11","2","LED","","","","LED_THT:LED_D3.0mm","~"
"J4","1","Conn_01x07_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J5,J6,J7,J8,J9,J10,J11,J12,J13","9","AudioJack2","","","","Library:MonoTRS","~"
"J14","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"Q3","1","BC847","","","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R2,R4,R13,R28,R30,R31,R35,R36,R37,R42","10","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3,R12,R24,R25,R26,R27","6","2k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"R38,R39,R40,R41","4","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV1,RV2,RV3","3","100k","","","","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"SW1","1","SW_SPDT","","","","Library:Switch","~"
"U3","1","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
