Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220pF","C_1206_3216Metric",199.759037,-103.100000,0.000000,top
"C2","220pF","C_1206_3216Metric",184.159037,-96.300000,0.000000,top
"C3","100n","C_1206_3216Metric",191.259037,-94.100000,180.000000,top
"C4","100n","C_1206_3216Metric",197.100000,-55.725000,-90.000000,top
"C5","100n","C_1206_3216Metric",191.059037,-67.700000,0.000000,top
"C7","10n","C_1206_3216Metric",185.200000,-55.100000,0.000000,top
"C101","10u","C_1206_3216Metric",181.800000,-118.825000,-90.000000,top
"C102","10u","C_1206_3216Metric",207.700000,-118.525000,90.000000,top
"C103","10u","C_1206_3216Metric",202.600000,-118.575000,-90.000000,top
"C104","10u","C_1206_3216Metric",184.300000,-118.850000,-90.000000,top
"D2","1N4148","D_SOD-323_HandSoldering",185.100000,-52.900000,180.000000,top
"D3","1N4148","D_SOD-323_HandSoldering",193.100000,-107.500000,0.000000,top
"D4","1N4148","D_SOD-323_HandSoldering",185.550000,-107.500000,180.000000,top
"Q1","BC857","SOT-23-3",206.624037,-76.090000,-90.000000,top
"Q2","BC857","SOT-23-3",206.534037,-80.640000,-90.000000,top
"Q3","BC847","SOT-23",189.900000,-47.000000,180.000000,top
"R1","100k","R_1206_3216Metric",183.759037,-71.900000,180.000000,top
"R4","100k","R_1206_3216Metric",198.809037,-65.050000,180.000000,top
"R5","100k","R_1206_3216Metric",198.859037,-70.070000,180.000000,top
"R6","100k","R_1206_3216Metric",198.859037,-74.970000,0.000000,top
"R7","100k","R_1206_3216Metric",198.859037,-72.570000,0.000000,top
"R8","100k","R_1206_3216Metric",198.859037,-77.470000,0.000000,top
"R9","200k","R_1206_3216Metric",199.674037,-87.040000,180.000000,top
"R10","100k","R_1206_3216Metric",191.259037,-79.600000,180.000000,top
"R11","1k","R_1206_3216Metric",199.684037,-89.470000,180.000000,top
"R12","2k2","R_1206_3216Metric",185.200000,-46.000000,0.000000,top
"R14","100k","R_1206_3216Metric",183.759037,-76.800000,180.000000,top
"R15","2k2","R_1206_3216Metric",199.684037,-82.270000,180.000000,top
"R16","100k","R_1206_3216Metric",183.759037,-69.400000,0.000000,top
"R17","1k","R_1206_3216Metric",206.284037,-72.700000,0.000000,top
"R18","100k","R_1206_3216Metric",199.759037,-100.400000,180.000000,top
"R19","200k","R_1206_3216Metric",183.084037,-87.200000,0.000000,top
"R20","10k","R_1206_3216Metric",203.434037,-76.340000,-90.000000,top
"R21","1k","R_1206_3216Metric",183.084037,-89.600000,0.000000,top
"R22","2k2","R_1206_3216Metric",183.084037,-82.400000,0.000000,top
"R23","47k","R_1206_3216Metric",199.834037,-97.240000,180.000000,top
"R28","100k","R_1206_3216Metric",185.200000,-48.300000,0.000000,top
"R29","100k","R_1206_3216Metric",198.859037,-67.600000,180.000000,top
"R31","100k","R_1206_3216Metric",185.200000,-50.700000,0.000000,top
"R32","1k","R_1206_3216Metric",183.084037,-84.800000,0.000000,top
"R33","1k","R_1206_3216Metric",199.684037,-84.670000,180.000000,top
"R34","100k","R_1206_3216Metric",183.759037,-74.400000,180.000000,top
"R35","100k","R_1206_3216Metric",194.700000,-47.100000,0.000000,top
"R42","100k","R_1206_3216Metric",185.200000,-57.600000,180.000000,top
"R101","1k","R_1206_3216Metric",200.100000,-118.625000,-90.000000,top
"R102","6k2","R_1206_3216Metric",205.110000,-118.575000,-90.000000,top
"R103","6k2","R_1206_3216Metric",176.900000,-118.825000,90.000000,top
"R104","1k","R_1206_3216Metric",179.200000,-118.800000,90.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",191.159037,-100.370000,180.000000,top
"U3","TL074","SOIC-14_3.9x8.7mm_P1.27mm",191.700000,-54.200000,0.000000,top
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm",190.984037,-73.500000,180.000000,top
"U5","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",191.109037,-87.700000,0.000000,top
"U101","LM317_SOT-223","SOT-223-3_TabPin2",204.400000,-112.300000,0.000000,top
"U102","LM337_SOT223","SOT-223-3_TabPin2",179.000000,-112.400000,180.000000,top
