Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220pF","C_1206_3216Metric",193.400000,-108.200000,0.000000,top
"C2","220pF","C_1206_3216Metric",177.800000,-101.400000,0.000000,top
"C3","100n","C_1206_3216Metric",184.900000,-99.200000,180.000000,top
"C5","100n","C_1206_3216Metric",184.700000,-72.600000,0.000000,top
"C6","1u","C_1206_3216Metric",189.675000,-112.550000,0.000000,top
"C8","1u","C_1206_3216Metric",181.375000,-112.525000,0.000000,top
"D3","1N4148","D_SOD-323_HandSoldering",192.932019,-116.737500,-90.000000,top
"D4","1N4148","D_SOD-323_HandSoldering",177.032019,-116.637500,90.000000,top
"Q1","BC857","SOT-23-3",200.265000,-81.190000,-90.000000,top
"Q2","BC857","SOT-23-3",200.175000,-85.740000,-90.000000,top
"R1","100k","R_1206_3216Metric",177.400000,-77.000000,180.000000,top
"R5","100k","R_1206_3216Metric",192.500000,-75.170000,180.000000,top
"R6","100k","R_1206_3216Metric",192.500000,-80.070000,0.000000,top
"R7","100k","R_1206_3216Metric",192.500000,-77.670000,0.000000,top
"R8","100k","R_1206_3216Metric",192.500000,-82.570000,0.000000,top
"R9","200k","R_1206_3216Metric",193.315000,-92.140000,180.000000,top
"R10","100k","R_1206_3216Metric",184.900000,-84.700000,180.000000,top
"R11","1k","R_1206_3216Metric",193.325000,-94.570000,180.000000,top
"R14","100k","R_1206_3216Metric",177.400000,-81.900000,180.000000,top
"R15","2k2","R_1206_3216Metric",193.325000,-87.370000,180.000000,top
"R16","100k","R_1206_3216Metric",177.400000,-74.500000,0.000000,top
"R17","1k","R_1206_3216Metric",199.925000,-77.800000,0.000000,top
"R18","100k","R_1206_3216Metric",193.400000,-105.500000,180.000000,top
"R19","200k","R_1206_3216Metric",176.725000,-92.300000,0.000000,top
"R20","10k","R_1206_3216Metric",197.075000,-81.440000,-90.000000,top
"R21","1k","R_1206_3216Metric",176.725000,-94.700000,0.000000,top
"R22","2k2","R_1206_3216Metric",176.725000,-87.500000,0.000000,top
"R23","47k","R_1206_3216Metric",193.475000,-102.340000,180.000000,top
"R29","100k","R_1206_3216Metric",192.500000,-72.700000,180.000000,top
"R32","1k","R_1206_3216Metric",176.725000,-89.900000,0.000000,top
"R33","1k","R_1206_3216Metric",193.325000,-89.770000,180.000000,top
"R34","100k","R_1206_3216Metric",177.400000,-79.500000,180.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",184.800000,-105.470000,180.000000,top
"U2","L7809","SOT-223",198.962500,-118.000000,-90.000000,top
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm",184.625000,-78.600000,180.000000,top
"U5","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",184.750000,-92.800000,0.000000,top
"U6","LM7909_TO220","SOT-223",171.900000,-118.025000,90.000000,top
